Total Votes,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%,
"991,292","775,699",78.25%,"203,817",20.56%,"11,776",1.19%,
,,,,,,,
Ward 1,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
18,362,322,88.95%,37,10.22%,3,0.83%
19,623,573,91.97%,43,6.90%,7,1.12%
20,823,763,92.71%,50,6.08%,10,1.22%
21,545,501,91.93%,42,7.71%,2,0.37%
22,275,247,89.82%,26,9.45%,2,0.73%
23,516,444,86.05%,67,12.98%,5,0.97%
24,1016,907,89.27%,97,9.55%,12,1.18%
25,1430,1250,87.41%,171,11.96%,9,0.63%
26,1051,884,84.11%,156,14.84%,11,1.05%
27,1357,1218,89.76%,128,9.43%,11,0.81%
28,1364,1184,86.80%,173,12.68%,7,0.51%
Total,"21,544","19,555",90.77%,"1,801",8.36%,188,0.87%
,,,,,,,
Ward 5,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,891,799,89.67%,82,9.20%,10,1.12%
2,1064,985,92.58%,66,6.20%,13,1.22%
3,991,927,93.54%,51,5.15%,13,1.31%
4,895,799,89.27%,85,9.50%,11,1.23%
5,309,292,94.50%,14,4.53%,3,0.97%
6,371,342,92.18%,23,6.20%,6,1.62%
7,248,222,89.52%,22,8.87%,4,1.61%
8,336,299,88.99%,28,8.33%,9,2.68%
9,266,241,90.60%,21,7.89%,4,1.50%
10,471,432,91.72%,34,7.22%,5,1.06%
11,689,622,90.28%,58,8.42%,9,1.31%
12,940,893,95.00%,45,4.79%,2,0.21%
13,421,386,91.69%,30,7.13%,5,1.19%
14,485,445,91.75%,32,6.60%,8,1.65%
15,1469,1376,93.67%,81,5.51%,12,0.82%
16,894,831,92.95%,60,6.71%,3,0.34%
17,597,542,90.79%,48,8.04%,7,1.17%
18,1363,1231,90.32%,109,8.00%,23,1.69%
19,535,507,94.77%,26,4.86%,2,0.37%
20,930,883,94.95%,42,4.52%,5,0.54%
21,882,809,91.72%,67,7.60%,6,0.68%
22,1020,943,92.45%,70,6.86%,7,0.69%
23,505,458,90.69%,43,8.51%,4,0.79%
24,901,774,85.90%,121,13.43%,6,0.67%
25,1428,1343,94.05%,79,5.53%,6,0.42%
Total,"18,901","17,381",91.96%,"1,337",7.07%,183,0.97%
,,,,,,,
Ward 6,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,337,288,85.46%,45,13.35%,4,1.19%
2,408,364,89.22%,38,9.31%,6,1.47%
3,125,111,88.80%,11,8.80%,3,2.40%
4,313,282,90.10%,28,8.95%,3,0.96%
5,501,425,84.83%,61,12.18%,15,2.99%
6,478,423,88.49%,49,10.25%,6,1.26%
7,587,536,91.31%,44,7.50%,7,1.19%
8,432,383,88.66%,45,10.42%,4,0.93%
9,796,736,92.46%,52,6.53%,8,1.01%
10,540,485,89.81%,46,8.52%,9,1.67%
11,228,198,86.84%,25,10.96%,5,2.19%
12,600,537,89.50%,57,9.50%,6,1.00%
13,687,643,93.60%,42,6.11%,2,0.29%
14,719,657,91.38%,56,7.79%,6,0.83%
15,800,720,90.00%,68,8.50%,12,1.50%
16,430,395,91.86%,31,7.21%,4,0.93%
17,867,800,92.27%,60,6.92%,7,0.81%
18,883,823,93.20%,47,5.32%,13,1.47%
19,677,619,91.43%,50,7.39%,8,1.18%
20,992,910,91.73%,72,7.26%,10,1.01%
21,743,691,93.00%,45,6.06%,7,0.94%
22,1066,978,91.74%,72,6.75%,16,1.50%
23,921,862,93.59%,52,5.65%,7,0.76%
24,862,793,92.00%,60,6.96%,9,1.04%
25,624,588,94.23%,31,4.97%,5,0.80%
26,1062,986,92.84%,62,5.84%,14,1.32%
27,1014,944,93.10%,60,5.92%,10,0.99%
Total,"17,692","16,177",91.44%,"1,309",7.40%,206,1.16%
,,,,,,,
Ward 7,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,888,794,89.41%,82,9.23%,12,1.35%
2,956,891,93.20%,58,6.07%,7,0.73%
3,604,541,89.57%,54,8.94%,9,1.49%
4,753,664,88.18%,82,10.89%,7,0.93%
5,832,754,90.63%,65,7.81%,13,1.56%
6,244,213,87.30%,30,12.30%,1,0.41%
7,679,593,87.33%,73,10.75%,13,1.91%
8,353,319,90.37%,31,8.78%,3,0.85%
9,616,533,86.53%,72,11.69%,11,1.79%
10,770,728,94.55%,35,4.55%,7,0.91%
11,691,654,94.65%,35,5.07%,2,0.29%
12,835,779,93.29%,42,5.03%,14,1.68%
13,652,560,85.89%,88,13.50%,4,0.61%
14,581,506,87.09%,62,10.67%,13,2.24%
15,781,707,90.52%,62,7.94%,12,1.54%
16,304,274,90.13%,30,9.87%,0,0.00%
17,259,223,86.10%,34,13.13%,2,0.77%
18,149,141,94.63%,7,4.70%,1,0.67%
19,894,840,93.96%,44,4.92%,10,1.12%
20,485,452,93.20%,27,5.57%,6,1.24%
21,412,386,93.69%,20,4.85%,6,1.46%
22,477,448,93.92%,23,4.82%,6,1.26%
23,333,302,90.69%,28,8.41%,3,0.90%
24,134,114,85.07%,18,13.43%,2,1.49%
25,534,486,91.01%,40,7.49%,8,1.50%
26,758,694,91.56%,56,7.39%,8,1.06%
27,494,459,92.91%,31,6.28%,4,0.81%
28,297,277,93.27%,18,6.06%,2,0.67%
29,448,419,93.53%,24,5.36%,5,1.12%
30,414,391,94.44%,18,4.35%,5,1.21%
31,182,165,90.66%,12,6.59%,5,2.75%
Total,"16,809","15,307",91.06%,"1,301",7.74%,201,1.20%
,,,,,,,
Ward 8,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,924,812,87.88%,85,9.20%,27,2.92%
2,416,377,90.63%,32,7.69%,7,1.68%
3,340,321,94.41%,14,4.12%,5,1.47%
4,837,777,92.83%,45,5.38%,15,1.79%
5,520,483,92.88%,29,5.58%,8,1.54%
6,874,806,92.22%,57,6.52%,11,1.26%
7,542,500,92.25%,35,6.46%,7,1.29%
8,999,945,94.59%,45,4.50%,9,0.90%
9,741,671,90.55%,57,7.69%,13,1.75%
10,924,820,88.74%,88,9.52%,16,1.73%
11,709,652,91.96%,46,6.49%,11,1.55%
12,691,650,94.07%,38,5.50%,3,0.43%
13,673,633,94.06%,32,4.75%,8,1.19%
14,833,759,91.12%,59,7.08%,15,1.80%
15,575,526,91.48%,43,7.48%,6,1.04%
16,582,541,92.96%,37,6.36%,4,0.69%
17,900,843,93.67%,47,5.22%,10,1.11%
18,1200,1140,95.00%,50,4.17%,10,0.83%
19,1010,925,91.58%,71,7.03%,14,1.39%
20,491,454,92.46%,30,6.11%,7,1.43%
21,501,456,91.02%,40,7.98%,5,1.00%
22,418,389,93.06%,22,5.26%,7,1.67%
23,1033,963,93.22%,58,5.61%,12,1.16%
24,638,603,94.51%,23,3.61%,12,1.88%
25,323,295,91.33%,24,7.43%,4,1.24%
26,554,500,90.25%,43,7.76%,11,1.99%
27,737,682,92.54%,46,6.24%,9,1.22%
28,517,478,92.46%,33,6.38%,6,1.16%
29,626,577,92.17%,46,7.35%,3,0.48%
30,634,592,93.38%,40,6.31%,2,0.32%
Total,"20,762","19,170",92.33%,"1,315",6.33%,277,1.33%
,,,,,,,
Ward 9,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,771,711,92.22%,48,6.23%,12,1.56%
2,700,631,90.14%,60,8.57%,9,1.29%
3,267,236,88.39%,24,8.99%,7,2.62%
4,623,576,92.46%,32,5.14%,15,2.41%
5,612,560,91.50%,46,7.52%,6,0.98%
6,920,848,92.17%,60,6.52%,12,1.30%
7,821,758,92.33%,56,6.82%,7,0.85%
8,747,670,89.69%,65,8.70%,12,1.61%
9,550,482,87.64%,64,11.64%,4,0.73%
10,923,847,91.77%,66,7.15%,10,1.08%
11,375,342,91.20%,30,8.00%,3,0.80%
12,872,811,93.00%,49,5.62%,12,1.38%
13,789,725,91.89%,58,7.35%,6,0.76%
14,511,469,91.78%,32,6.26%,10,1.96%
15,684,628,91.81%,49,7.16%,7,1.02%
16,947,868,91.66%,69,7.29%,10,1.06%
17,301,270,89.70%,27,8.97%,4,1.33%
18,416,372,89.42%,38,9.13%,6,1.44%
19,364,320,87.91%,38,10.44%,6,1.65%
20,651,529,81.26%,114,17.51%,8,1.23%
21,749,683,91.19%,58,7.74%,8,1.07%
22,537,478,89.01%,55,10.24%,4,0.74%
23,430,395,91.86%,30,6.98%,5,1.16%
24,629,586,93.16%,38,6.04%,5,0.79%
25,539,487,90.35%,46,8.53%,6,1.11%
26,719,657,91.38%,48,6.68%,14,1.95%
27,386,357,92.49%,23,5.96%,6,1.55%
28,453,411,90.73%,39,8.61%,3,0.66%
29,958,906,94.57%,39,4.07%,13,1.36%
30,793,726,91.55%,60,7.57%,7,0.88%
Total,"19,037","17,339",91.08%,"1,461",7.67%,237,1.24%
,,,,,,,
Ward 10,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,277,224,80.87%,50,18.05%,3,1.08%
2,336,270,80.36%,63,18.75%,3,0.89%
3,488,383,78.48%,95,19.47%,10,2.05%
4,582,476,81.79%,96,16.49%,10,1.72%
5,226,164,72.57%,59,26.11%,3,1.33%
6,286,229,80.07%,54,18.88%,3,1.05%
7,564,394,69.86%,163,28.90%,7,1.24%
8,556,375,67.45%,173,31.12%,8,1.44%
9,642,493,76.79%,139,21.65%,10,1.56%
10,631,462,73.22%,163,25.83%,6,0.95%
11,232,171,73.71%,56,24.14%,5,2.16%
12,547,391,71.48%,144,26.33%,12,2.19%
13,691,488,70.62%,196,28.36%,7,1.01%
14,923,610,66.09%,300,32.50%,13,1.41%
15,757,480,63.41%,267,35.27%,10,1.32%
16,867,560,64.59%,291,33.56%,16,1.85%
17,674,426,63.20%,238,35.31%,10,1.48%
18,965,563,58.34%,387,40.10%,15,1.55%
19,631,356,56.42%,258,40.89%,17,2.69%
20,379,241,63.59%,134,35.36%,4,1.06%
21,416,237,56.97%,177,42.55%,2,0.48%
22,889,492,55.34%,381,42.86%,16,1.80%
23,554,437,78.88%,109,19.68%,8,1.44%
24,371,325,87.60%,41,11.05%,5,1.35%
25,452,398,88.05%,47,10.40%,7,1.55%
Total,"13,936","9,645",69.21%,"4,081",29.28%,210,1.51%
,,,,,,,
Ward 11,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,387,247,63.82%,140,36.18%,0,0.00%
2,172,103,59.88%,67,38.95%,2,1.16%
3,992,506,51.01%,470,47.38%,16,1.61%
4,639,413,64.63%,219,34.27%,7,1.10%
5,663,371,55.96%,284,42.84%,8,1.21%
6,805,503,62.48%,292,36.27%,10,1.24%
7,597,321,53.77%,268,44.89%,8,1.34%
8,932,439,47.10%,483,51.82%,10,1.07%
9,882,431,48.87%,441,50.00%,10,1.13%
10,187,74,39.57%,111,59.36%,2,1.07%
11,147,61,41.50%,84,57.14%,2,1.36%
12,310,145,46.77%,164,52.90%,1,0.32%
13,703,380,54.05%,319,45.38%,4,0.57%
14,1204,739,61.38%,450,37.38%,15,1.25%
15,863,639,74.04%,205,23.75%,19,2.20%
16,1011,710,70.23%,293,28.98%,8,0.79%
17,608,348,57.24%,244,40.13%,16,2.63%
18,770,457,59.35%,304,39.48%,9,1.17%
19,252,154,61.11%,92,36.51%,6,2.38%
20,674,456,67.66%,210,31.16%,8,1.19%
21,1016,514,50.59%,483,47.54%,19,1.87%
22,807,364,45.11%,434,53.78%,9,1.12%
23,758,403,53.17%,345,45.51%,10,1.32%
Total,"15,379","8,778",57.08%,"6,402",41.63%,199,1.29%
,,,,,,,
Ward 12,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,410,275,67.07%,130,31.71%,5,1.22%
2,386,254,65.80%,122,31.61%,10,2.59%
3,542,369,68.08%,162,29.89%,11,2.03%
4,493,343,69.57%,142,28.80%,8,1.62%
5,560,323,57.68%,229,40.89%,8,1.43%
6,544,337,61.95%,195,35.85%,12,2.21%
7,518,326,62.93%,189,36.49%,3,0.58%
8,466,297,63.73%,159,34.12%,10,2.15%
9,242,162,66.94%,79,32.64%,1,0.41%
10,552,378,68.48%,166,30.07%,8,1.45%
11,462,307,66.45%,146,31.60%,9,1.95%
12,447,265,59.28%,172,38.48%,10,2.24%
13,466,298,63.95%,158,33.91%,10,2.15%
14,470,322,68.51%,140,29.79%,8,1.70%
15,553,360,65.10%,188,34.00%,5,0.90%
16,548,361,65.88%,181,33.03%,6,1.09%
17,482,314,65.15%,156,32.37%,12,2.49%
18,535,353,65.98%,171,31.96%,11,2.06%
19,329,237,72.04%,82,24.92%,10,3.04%
20,518,340,65.64%,166,32.05%,12,2.32%
21,467,324,69.38%,139,29.76%,4,0.86%
22,397,248,62.47%,139,35.01%,10,2.52%
Total,"10,387","6,793",65.40%,"3,411",32.84%,183,1.76%
,,,,,,,
Ward 13,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,423,266,62.88%,153,36.17%,4,0.95%
2,482,298,61.83%,179,37.14%,5,1.04%
3,680,280,41.18%,389,57.21%,11,1.62%
4,587,395,67.29%,185,31.52%,7,1.19%
5,485,246,50.72%,225,46.39%,14,2.89%
6,494,225,45.55%,264,53.44%,5,1.01%
7,441,224,50.79%,212,48.07%,5,1.13%
8,630,360,57.14%,254,40.32%,16,2.54%
9,676,300,44.38%,369,54.59%,7,1.04%
10,660,281,42.58%,367,55.61%,12,1.82%
11,391,188,48.08%,199,50.90%,4,1.02%
12,344,224,65.12%,113,32.85%,7,2.03%
13,423,182,43.03%,235,55.56%,6,1.42%
14,443,240,54.18%,192,43.34%,11,2.48%
15,434,200,46.08%,227,52.30%,7,1.61%
16,517,294,56.87%,217,41.97%,6,1.16%
17,677,445,65.73%,223,32.94%,9,1.33%
18,440,271,61.59%,164,37.27%,5,1.14%
19,395,170,43.04%,216,54.68%,9,2.28%
20,558,252,45.16%,297,53.23%,9,1.61%
21,476,209,43.91%,258,54.20%,9,1.89%
22,649,403,62.10%,239,36.83%,7,1.08%
23,619,238,38.45%,376,60.74%,5,0.81%
24,513,276,53.80%,234,45.61%,3,0.58%
25,483,317,65.63%,160,33.13%,6,1.24%
26,415,253,60.96%,160,38.55%,2,0.48%
27,400,250,62.50%,148,37.00%,2,0.50%
28,431,256,59.40%,167,38.75%,8,1.86%
29,414,285,68.84%,126,30.43%,3,0.72%
30,567,231,40.74%,324,57.14%,12,2.12%
31,412,179,43.45%,229,55.58%,4,0.97%
32,396,213,53.79%,173,43.69%,10,2.53%
33,457,232,50.77%,216,47.26%,9,1.97%
34,592,263,44.43%,321,54.22%,8,1.35%
35,691,336,48.63%,346,50.07%,9,1.30%
36,318,195,61.32%,118,37.11%,5,1.57%
37,592,222,37.50%,365,61.66%,5,0.84%
38,362,204,56.35%,154,42.54%,4,1.10%
39,582,250,42.96%,327,56.19%,5,0.86%
40,523,258,49.33%,262,50.10%,3,0.57%
Total,"20,072","10,411",51.87%,"9,383",46.75%,278,1.39%
,,,,,,,
Ward 14,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,799,556,69.59%,228,28.54%,15,1.88%
2,523,330,63.10%,186,35.56%,7,1.34%
3,449,292,65.03%,153,34.08%,4,0.89%
4,183,136,74.32%,44,24.04%,3,1.64%
5,641,440,68.64%,192,29.95%,9,1.40%
6,859,605,70.43%,238,27.71%,16,1.86%
7,777,460,59.20%,305,39.25%,12,1.54%
8,809,513,63.41%,282,34.86%,14,1.73%
9,839,592,70.56%,240,28.61%,7,0.83%
10,789,528,66.92%,252,31.94%,9,1.14%
11,838,553,65.99%,271,32.34%,14,1.67%
12,568,381,67.08%,182,32.04%,5,0.88%
13,831,540,64.98%,280,33.69%,11,1.32%
14,481,330,68.61%,143,29.73%,8,1.66%
15,449,323,71.94%,122,27.17%,4,0.89%
Total,"9,835","6,579",66.89%,"3,118",31.70%,138,1.40%
,,,,,,,
Ward 15,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,508,180,35.43%,319,62.80%,9,1.77%
2,612,233,38.07%,366,59.80%,13,2.12%
3,266,141,53.01%,122,45.86%,3,1.13%
4,435,272,62.53%,158,36.32%,5,1.15%
5,444,292,65.77%,145,32.66%,7,1.58%
6,533,368,69.04%,158,29.64%,7,1.31%
7,385,255,66.23%,127,32.99%,3,0.78%
8,400,297,74.25%,88,22.00%,15,3.75%
9,513,345,67.25%,152,29.63%,16,3.12%
10,413,314,76.03%,88,21.31%,11,2.66%
11,405,287,70.86%,113,27.90%,5,1.23%
12,540,362,67.04%,166,30.74%,12,2.22%
13,434,332,76.50%,93,21.43%,9,2.07%
14,378,288,76.19%,89,23.54%,1,0.26%
15,457,341,74.62%,107,23.41%,9,1.97%
16,612,510,83.33%,96,15.69%,6,0.98%
17,592,530,89.53%,53,8.95%,9,1.52%
18,476,404,84.87%,69,14.50%,3,0.63%
19,294,246,83.67%,45,15.31%,3,1.02%
20,473,315,66.60%,153,32.35%,5,1.06%
Total,"9,170","6,312",68.83%,"2,707",29.52%,151,1.65%
,,,,,,,
Ward 16,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,506,432,85.38%,69,13.64%,5,0.99%
2,340,276,81.18%,55,16.18%,9,2.65%
3,393,343,87.28%,43,10.94%,7,1.78%
4,277,249,89.89%,24,8.66%,4,1.44%
5,585,504,86.15%,76,12.99%,5,0.85%
6,550,500,90.91%,43,7.82%,7,1.27%
7,344,293,85.17%,47,13.66%,4,1.16%
8,247,204,82.59%,41,16.60%,2,0.81%
9,514,463,90.08%,41,7.98%,10,1.95%
10,417,374,89.69%,33,7.91%,10,2.40%
11,391,344,87.98%,43,11.00%,4,1.02%
12,205,167,81.46%,34,16.59%,4,1.95%
13,233,211,90.56%,18,7.73%,4,1.72%
14,592,507,85.64%,81,13.68%,4,0.68%
15,501,441,88.02%,53,10.58%,7,1.40%
16,386,339,87.82%,42,10.88%,5,1.30%
17,733,602,82.13%,120,16.37%,11,1.50%
18,595,503,84.54%,82,13.78%,10,1.68%
19,524,399,76.15%,116,22.14%,9,1.72%
20,461,414,89.80%,39,8.46%,8,1.74%
21,362,318,87.85%,40,11.05%,4,1.10%
22,511,415,81.21%,87,17.03%,9,1.76%
23,436,341,78.21%,89,20.41%,6,1.38%
24,406,362,89.16%,38,9.36%,6,1.48%
25,195,158,81.03%,33,16.92%,4,2.05%
Total,"10,704","9,159",85.57%,"1,387",12.96%,158,1.48%
,,,,,,,
Ward 17,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,765,553,72.29%,203,26.54%,9,1.18%
2,397,328,82.62%,60,15.11%,9,2.27%
3,462,397,85.93%,53,11.47%,12,2.60%
4,469,423,90.19%,42,8.96%,4,0.85%
5,283,258,91.17%,24,8.48%,1,0.35%
6,469,407,86.78%,53,11.30%,9,1.92%
7,259,231,89.19%,24,9.27%,4,1.54%
8,308,280,90.91%,23,7.47%,5,1.62%
9,363,331,91.18%,29,7.99%,3,0.83%
10,717,651,90.79%,56,7.81%,10,1.39%
11,398,353,88.69%,40,10.05%,5,1.26%
12,236,207,87.71%,27,11.44%,2,0.85%
13,303,267,88.12%,32,10.56%,4,1.32%
14,314,277,88.22%,31,9.87%,6,1.91%
15,828,753,90.94%,66,7.97%,9,1.09%
16,323,292,90.40%,30,9.29%,1,0.31%
17,361,318,88.09%,39,10.80%,4,1.11%
18,860,811,94.30%,36,4.19%,13,1.51%
19,635,578,91.02%,45,7.09%,12,1.89%
20,627,558,89.00%,58,9.25%,11,1.75%
21,701,649,92.58%,46,6.56%,6,0.86%
22,752,682,90.69%,56,7.45%,14,1.86%
23,454,399,87.89%,47,10.35%,8,1.76%
24,769,702,91.29%,52,6.76%,15,1.95%
25,324,289,89.20%,31,9.57%,4,1.23%
26,619,565,91.28%,42,6.79%,12,1.94%
27,772,715,92.62%,47,6.09%,10,1.30%
28,915,823,89.95%,78,8.52%,14,1.53%
29,804,735,91.42%,60,7.46%,9,1.12%
Total,"15,487","13,832",89.31%,"1,430",9.23%,225,1.45%
,,,,,,,
Ward 18,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,862,804,93.27%,52,6.03%,6,0.70%
2,946,860,90.91%,78,8.25%,8,0.85%
3,406,375,92.36%,28,6.90%,3,0.74%
4,659,604,91.65%,48,7.28%,7,1.06%
5,593,556,93.76%,28,4.72%,9,1.52%
6,979,904,92.34%,58,5.92%,17,1.74%
7,790,723,91.52%,58,7.34%,9,1.14%
8,1190,1063,89.33%,117,9.83%,10,0.84%
9,884,787,89.03%,82,9.28%,15,1.70%
10,1037,937,90.36%,86,8.29%,14,1.35%
11,683,605,88.58%,61,8.93%,17,2.49%
12,910,824,90.55%,76,8.35%,10,1.10%
13,901,721,80.02%,164,18.20%,16,1.78%
14,680,594,87.35%,82,12.06%,4,0.59%
15,499,415,83.17%,76,15.23%,8,1.60%
16,759,626,82.48%,125,16.47%,8,1.05%
17,603,520,86.24%,71,11.77%,12,1.99%
18,850,616,72.47%,226,26.59%,8,0.94%
19,681,530,77.83%,144,21.15%,7,1.03%
20,634,505,79.65%,124,19.56%,5,0.79%
21,775,667,86.06%,93,12.00%,15,1.94%
22,841,532,63.26%,297,35.32%,12,1.43%
23,1018,606,59.53%,403,39.59%,9,0.88%
24,1092,760,69.60%,319,29.21%,13,1.19%
25,657,406,61.80%,242,36.83%,9,1.37%
26,945,642,67.94%,286,30.26%,17,1.80%
Total,"20,874","17,182",82.31%,"3,424",16.40%,268,1.28%
,,,,,,,
Ward 19,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,1136,572,50.35%,552,48.59%,12,1.06%
2,998,832,83.37%,159,15.93%,7,0.70%
3,802,195,24.31%,594,74.06%,13,1.62%
4,774,206,26.61%,562,72.61%,6,0.78%
5,769,599,77.89%,165,21.46%,5,0.65%
6,829,296,35.71%,520,62.73%,13,1.57%
7,1095,538,49.13%,539,49.22%,18,1.64%
8,865,794,91.79%,63,7.28%,8,0.92%
9,699,643,91.99%,45,6.44%,11,1.57%
10,749,583,77.84%,157,20.96%,9,1.20%
11,708,284,40.11%,416,58.76%,8,1.13%
12,1059,346,32.67%,699,66.01%,14,1.32%
13,675,602,89.19%,61,9.04%,12,1.78%
14,927,736,79.40%,183,19.74%,8,0.86%
15,660,195,29.55%,450,68.18%,15,2.27%
16,750,204,27.20%,539,71.87%,7,0.93%
17,708,318,44.92%,387,54.66%,3,0.42%
18,699,181,25.89%,509,72.82%,9,1.29%
19,823,655,79.59%,157,19.08%,11,1.34%
20,615,554,90.08%,56,9.11%,5,0.81%
21,1132,350,30.92%,764,67.49%,18,1.59%
22,761,540,70.96%,202,26.54%,19,2.50%
23,775,387,49.94%,373,48.13%,15,1.94%
24,773,228,29.50%,538,69.60%,7,0.91%
25,658,530,80.55%,117,17.78%,11,1.67%
26,647,450,69.55%,188,29.06%,9,1.39%
27,981,861,87.77%,106,10.81%,14,1.43%
28,1283,1115,86.91%,149,11.61%,19,1.48%
29,961,344,35.80%,603,62.75%,14,1.46%
30,782,223,28.52%,552,70.59%,7,0.90%
31,1093,819,74.93%,262,23.97%,12,1.10%
32,675,564,83.56%,97,14.37%,14,2.07%
33,590,142,24.07%,441,74.75%,7,1.19%
34,1253,608,48.52%,633,50.52%,12,0.96%
35,793,575,72.51%,208,26.23%,10,1.26%
36,656,470,71.65%,177,26.98%,9,1.37%
Total,"30,153","17,539",58.17%,"12,223",40.54%,391,1.30%
,,,,,,,
Ward 20,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,448,324,72.32%,121,27.01%,3,0.67%
2,258,160,62.02%,93,36.05%,5,1.94%
3,302,234,77.48%,64,21.19%,4,1.32%
4,191,159,83.25%,29,15.18%,3,1.57%
5,466,397,85.19%,66,14.16%,3,0.64%
6,232,206,88.79%,25,10.78%,1,0.43%
7,325,292,89.85%,30,9.23%,3,0.92%
8,386,338,87.56%,44,11.40%,4,1.04%
9,759,676,89.06%,71,9.35%,12,1.58%
10,831,740,89.05%,77,9.27%,14,1.68%
11,587,521,88.76%,54,9.20%,12,2.04%
12,143,125,87.41%,15,10.49%,3,2.10%
13,1069,988,92.42%,75,7.02%,6,0.56%
14,676,628,92.90%,42,6.21%,6,0.89%
15,625,569,91.04%,44,7.04%,12,1.92%
16,648,597,92.13%,45,6.94%,6,0.93%
17,783,730,93.23%,44,5.62%,9,1.15%
18,991,881,88.90%,97,9.79%,13,1.31%
19,507,468,92.31%,34,6.71%,5,0.99%
20,680,637,93.68%,36,5.29%,7,1.03%
21,955,872,91.31%,73,7.64%,10,1.05%
22,869,786,90.45%,78,8.98%,5,0.58%
23,327,294,89.91%,28,8.56%,5,1.53%
Total,"13,058","11,622",89.00%,"1,285",9.84%,151,1.16%
,,,,,,,
Ward 21,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,912,841,92.21%,64,7.02%,7,0.77%
2,305,275,90.16%,24,7.87%,6,1.97%
3,894,816,91.28%,62,6.94%,16,1.79%
4,826,759,91.89%,56,6.78%,11,1.33%
5,825,752,91.15%,69,8.36%,4,0.48%
6,768,680,88.54%,79,10.29%,9,1.17%
7,1003,912,90.93%,81,8.08%,10,1.00%
8,886,818,92.33%,61,6.88%,7,0.79%
9,287,265,92.33%,19,6.62%,3,1.05%
10,905,838,92.60%,64,7.07%,3,0.33%
11,934,866,92.72%,58,6.21%,10,1.07%
12,430,379,88.14%,41,9.53%,10,2.33%
13,747,690,92.37%,45,6.02%,12,1.61%
14,937,877,93.60%,48,5.12%,12,1.28%
15,906,836,92.27%,62,6.84%,8,0.88%
16,893,822,92.05%,60,6.72%,11,1.23%
17,661,603,91.23%,49,7.41%,9,1.36%
18,901,839,93.12%,52,5.77%,10,1.11%
19,802,752,93.77%,42,5.24%,8,1.00%
20,657,592,90.11%,54,8.22%,11,1.67%
21,961,887,92.30%,60,6.24%,14,1.46%
22,1016,942,92.72%,62,6.10%,12,1.18%
23,834,757,90.77%,68,8.15%,9,1.08%
24,737,680,92.27%,51,6.92%,6,0.81%
