Total Votes,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%,
"991,292","775,699",78.25%,"203,817",20.56%,"11,776",1.19%,
,,,,,,,
Ward 1,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
2,702,423,60.26%,264,37.61%,15,2.14%
3,431,231,53.60%,195,45.24%,5,1.16%
4,493,317,64.30%,166,33.67%,10,2.03%
5,784,524,66.84%,252,32.14%,8,1.02%
6,853,480,56.27%,359,42.09%,14,1.64%
7,907,528,58.21%,352,38.81%,27,2.98%
8,797,449,56.34%,333,41.78%,15,1.88%
9,922,536,58.13%,373,40.46%,13,1.41%
10,823,460,55.89%,347,42.16%,16,1.94%
11,1098,570,51.91%,509,46.36%,19,1.73%
12,779,477,61.23%,294,37.74%,8,1.03%
13,968,672,69.42%,284,29.34%,12,1.24%
14,650,399,61.38%,240,36.92%,11,1.69%
15,740,522,70.54%,212,28.65%,6,0.81%
16,859,595,69.27%,249,28.99%,15,1.75%
17,1043,602,57.72%,427,40.94%,14,1.34%
18,1048,621,59.26%,412,39.31%,15,1.43%
19,750,499,66.53%,243,32.40%,8,1.07%
20,909,615,67.66%,277,30.47%,17,1.87%
21,861,511,59.35%,339,39.37%,11,1.28%
22,802,608,75.81%,184,22.94%,10,1.25%
23,906,619,68.32%,274,30.24%,13,1.43%
24,835,562,67.31%,262,31.38%,11,1.32%
25,1084,755,69.65%,309,28.51%,20,1.85%
26,899,623,69.30%,261,29.03%,15,1.67%
27,950,755,79.47%,186,19.58%,9,0.95%
28,1036,761,73.46%,259,25.00%,16,1.54%
29,889,724,81.44%,154,17.32%,11,1.24%
Total,"25,193","16,178",64.22%,"8,629",34.25%,386,1.53%
,,,,,,,
Ward 46,,,,,,,
Precinct,Total Voters,Kamala D. Harris & Tim Walz,%,Donald J. Trump & JD Vance,%,Robert F. Kennedy Jr. & Nicole Shanahan,%
1,1036,850,82.05%,181,17.47%,5,0.48%
2,1118,1017,90.97%,96,8.59%,5,0.45%
3,1223,1080,88.31%,134,10.96%,9,0.74%
4,1408,1203,85.44%,189,13.42%,16,1.14%
5,1116,939,84.14%,171,15.32%,6,0.54%
6,1718,1507,87.72%,202,11.76%,9,0.52%
7,1139,1025,89.99%,104,9.13%,10,0.88%
8,1375,1223,88.95%,140,10.18%,12,0.87%
9,1401,1213,86.58%,174,12.42%,14,1.00%
10,1145,1056,92.23%,82,7.16%,7,0.61%
11,1352,1167,86.32%,174,12.87%,11,0.81%
12,1590,1427,89.75%,156,9.81%,7,0.44%
13,1419,1297,91.40%,107,7.54%,15,1.06%
14,832,751,90.26%,77,9.25%,4,0.48%
15,1572,1345,85.56%,213,13.55%,14,0.89%
16,1352,1213,89.72%,133,9.84%,6,0.44%
17,1366,1261,92.31%,98,7.17%,7,0.51%
